"stn","lon_o","lat_o","ele","lon_l","lat_l","dist","dii","yii","xii"
483,126.7870639,37.92596944,35,126.796,37.9243,0.00909070476495613,208087,407,215
484,127.3164778,37.64657222,128,127.317,37.642,0.00460194399883262,197877,387,245
485,127.4946917,37.67618889,83,127.492,37.6811,0.00560037948018856,199423,390,255
486,127.4143944,37.73474722,61,127.406,37.7377,0.00889858758952052,201466,394,250
487,126.5838672,37.646345,42,126.583,37.6489,0.00269815878702647,197835,387,203
488,126.7411667,37.21497222,43,126.735,37.2191,0.0074206978525142,181972,356,212
489,126.7109167,37.16375,25,126.717,37.1639,0.00608514904418965,179923,352,211
490,127.11,38.0244444,72,127.114,38.0182,0.00741569493439679,211689,414,233
491,127.0208333,38.0822222,39,127.027,38.0884,0.00872888318915826,214244,419,228
492,126.8575,37.4217,36.4,126.859,37.4255,0.00408533964315888,189659,371,219
494,127.2394,36.5288,107.8,127.242,36.5235,0.00590338885725712,156402,306,242
495,127.18868,36.96127,25.35,127.182,36.9661,0.00824325785111825,172782,338,238
496,127.2688,36.4585,30.3,127.275,36.454,0.00766093989012358,153844,301,244
497,128.85145,37.57516,658.15,128.852,37.5688,0.00638373714997135,196429,384,333
498,128.51447,37.87925,1015.08,128.515,37.8824,0.00319427613082916,207673,406,313
499,127.0191,38.13586,53.7,127.028,38.13,0.010655965465418,215780,422,228
500,126.4201,37.6317,29,126.425,37.6358,0.00638905313797999,197314,386,194
501,125.70228,37.66439,7.63,125.709,37.664,0.00673130745100946,198297,388,153
502,126.29163,37.78945,13.94,126.286,37.7886,0.00569380364957907,202938,397,186
503,126.7116,37.912,18.29,126.708,37.9111,0.00371079506306189,207570,406,210
504,127.1808,37.8704,105.14,127.181,37.8651,0.00530377224246847,206061,403,237
505,127.34543,37.82435,170.45,127.338,37.8217,0.00788843457220792,204534,400,246
506,126.777008,37.748292,12.88,126.776,37.7445,0.00392368806099259,201430,394,214
507,127.1433,38.025,76.06,127.149,38.0317,0.00879659024850424,212203,415,235
508,126.361,37.467,140.91,126.355,37.4701,0.006753517601963,191166,374,190
509,126.95014,37.45284,141.64,126.947,37.4524,0.00317067816090125,190688,373,224
510,126.90705,37.52706,24.41,126.913,37.5219,0.00787579202366002,193246,378,222
511,126.69047,37.55497,47.04,126.687,37.5514,0.00497853392074649,194257,380,209
512,126.66207,37.39684,8.13,126.668,37.3993,0.00642000778816292,188624,369,208
513,126.1447,36.2276,20.02,126.143,36.2276,0.00169999999999959,145074,284,178
514,126.58063,37.24551,10,126.579,37.2478,0.00281087175089794,182987,358,203
515,126.7737,37.0845,8,126.768,37.0806,0.00690651865993739,176854,346,214
516,127.25,37.0038,23.92,127.252,37.0067,0.00352278299076227,174322,341,242
517,128.4745,38.38537,4.51,128.482,38.3821,0.00818186409077426,226102,442,310
518,128.1211,38.26957,468.47,128.124,38.2654,0.00507926175737338,221474,433,290
519,127.5194,38.07545,297.73,127.52,38.0822,0.00677661419884895,214272,419,256
520,128.5177,38.1671,135,128.509,38.1735,0.0108004629530438,218424,427,312
521,128.60261,38.14377,13.39,128.596,38.1436,0.00661218572031473,217405,425,317
522,127.9838,37.7871,187,127.985,37.7833,0.00398497176903852,203547,398,283
523,128.8211,37.8983,10,128.814,37.9022,0.0081006172604395,208714,408,330
524,128.92306,37.78706,3.33,128.932,37.7881,0.00900028888424846,204625,400,337
525,128.3773,37.6123,552.11,128.382,37.6087,0.00592030404625654,197426,386,306
526,128.39461,37.37787,303.18,128.39,37.3732,0.00656208808232319,188723,369,307
527,128.6423,37.2115,392,128.645,37.2147,0.00418688428309421,183106,358,322
528,124.7207,37.9788,36,124.724,37.9748,0.00518555686499037,210017,411,97
529,129.2859,37.14156,40.66,129.284,37.1405,0.00217568380055878,181095,354,359
530,130.8118,37.515,178,130.805,37.5086,0.00933809402394133,197053,385,445
531,127.55022,37.88558,109.66,127.55,37.8879,0.00233040768965873,207106,405,258
532,127.075,37.735,89.49,127.074,37.7417,0.00677421582177881,201447,394,231
533,127.4361,37.3236,100.1,127.432,37.3222,0.00433243580448016,186108,364,252
534,127.6106,37.121,88.2,127.618,37.1258,0.00882043082846925,178951,350,263
535,128.1826,37.717,313.14,128.176,37.7102,0.00947628619239856,200998,393,294
536,127.97241,37.48761,110.52,127.976,37.4928,0.00631064180571846,192795,377,283
537,128.8459,37.4832,488,128.848,37.4858,0.00334215499342258,193357,378,333
538,127.10301,38.17254,82.25,127.099,38.1708,0.00437123552327531,217320,425,232
539,127.3658111,38.02410556,137.74,127.36,38.0291,0.0076624613619647,212215,415,247
