"stn","lon_o","lat_o","ele","law_id","sido","lon_l","lat_l","dist","dii","yii","xii"
430,127.0118333,37.27183333,103,4111513600,41,127.014,37.272,0.00217310095919488,216436,360,318
431,127.0739444,37.74602778,67,4115010400,41,127.074,37.7417,0.00432813713835105,236907,394,321
432,126.9204565,37.13107,29,4159025939,41,126.925,37.1346,0.00575363296100443,210411,350,313
433,126.7665833,37.49758333,29,4119010800,41,126.773,37.4954,0.00677797674670978,226054,376,304
434,126.9589167,37.39158333,96,4117300000,41,126.964,37.3969,0.00735574053232199,221851,369,315
435,126.8211944,37.32430556,32,4127310100,41,126.823,37.329,0.00502970757336891,218833,364,307
436,127.1892778,37.23138889,123,4146110200,41,127.187,37.2286,0.00360087215436706,214640,357,328
437,126.8664722,37.47577778,68,4121010200,41,126.86,37.4809,0.00825387851669918,225457,375,309
438,126.9374722,37.35872222,97,4141010500,41,126.945,37.3556,0.00814960309268085,220044,366,314
439,127.0377778,37.20605556,66,4159011600,41,127.03,37.2027,0.00847077067058312,213427,355,319
440,127.4423889,37.275,168,4150010300,41,127.448,37.2805,0.00785712690555575,217063,361,343
441,126.7047222,37.64683333,32,4157010300,41,126.705,37.6481,0.00129677512657162,232672,387,300
442,127.2878333,37.41605556,53,4161025329,41,127.295,37.4209,0.0086504443702997,223074,371,334
443,127.2919444,37.01972222,90,4155031029,41,127.287,37.0201,0.00495881125758934,205616,342,334
444,127.2155556,37.53591667,37,4145010600,41,127.21,37.5326,0.00647031616298369,227885,379,329
445,126.9709444,37.34172222,94,4143010100,41,126.963,37.3416,0.0079453400863898,219443,365,315
446,127.0657778,37.13738889,32,4137010100,41,127.064,37.1332,0.0045505353830185,210419,350,321
447,127.6812778,37.32622222,72,4167036021,41,127.676,37.3323,0.00804950821904031,219484,365,356
448,127.4451667,37.39877778,131,4167038021,41,127.451,37.4049,0.00845629745327352,222481,370,343
449,127.4522222,37.50727778,44,4183034021,41,127.453,37.5017,0.00563174951222502,226695,377,343
450,126.8333611,37.6555,50,4128110100,41,126.828,37.661,0.00768058547312608,233281,388,307
451,127.1529722,37.61069444,34,4136026221,41,127.159,37.6162,0.00816367342277399,231494,385,326
452,127.2285286,37.9312975,109,4165034022,41,127.235,37.9337,0.00690297212872466,245344,408,330
453,126.8983333,37.44,37,4121010400,41,126.894,37.4391,0.00442577551283174,223653,372,311
454,127.0696111,37.97125,91,4125011000,41,127.078,37.9771,0.010227225587129,247141,411,321
455,127.512,37.82822222,92,4182025021,41,127.514,37.833,0.00517949628133467,241146,401,346
456,127.0778056,38.09361111,82,4180025021,41,127.08,38.0879,0.00611818345524807,251957,419,321
457,127.1941806,37.52202222,52,4145011800,41,127.192,37.519,0.00372677207357805,227282,378,328
458,127.3057806,37.47469444,48,4161034026,41,127.313,37.476,0.00733649938823346,225483,375,335
459,127.1967556,37.345475,89,4161025024,41,127.189,37.3392,0.00997621954250128,219456,365,328
460,127.4039389,37.36640278,182,4161025927,41,127.398,37.3642,0.00633425393700522,220672,367,340
461,127.3601111,37.24611111,88,4150034021,41,127.361,37.2402,0.00597757180150157,215252,358,338
462,127.4823056,37.16913889,84,4150036021,41,127.481,37.1694,0.0013314540142738,212249,353,345
463,127.5412417,37.3327,57,4167032000,41,127.537,37.3345,0.00460782149067615,219476,365,348
464,127.6625722,37.20612778,86,4167031021,41,127.655,37.2082,0.00785062472471821,214065,356,355
465,127.5451083,37.20171944,85,4167025021,41,127.551,37.196,0.00821121932502578,213457,355,349
466,127.533325,37.39278889,60,4167033021,41,127.538,37.3898,0.0055487916190832,221884,369,348
467,127.1944778,37.05979167,55,4155036021,41,127.201,37.0626,0.00710111330910861,207417,345,329
468,127.2592222,36.94306944,63,4155033021,41,127.268,36.9374,0.0104495130390721,202003,336,333
469,127.4770111,37.0906,95,4155039028,41,127.479,37.0865,0.00455694230926962,208637,347,345
470,127.2633861,37.08270833,68,4155042024,41,127.27,37.0755,0.00978282651378643,208023,346,333
471,127.0648972,37.06644167,74,4122010100,41,127.062,37.0641,0.00372520955503689,207409,345,321
472,126.8534889,36.98447778,25,4122025622,41,126.853,36.9832,0.00136811729702298,203785,339,309
473,127.1861361,37.84861389,130,4165033021,41,127.181,37.8513,0.00579609438692208,241729,402,327
474,127.27225,38.08660556,148,4165039021,41,127.273,38.0856,0.00125445243576656,251968,419,332
475,127.2511972,38.15774722,197,4165040024,41,127.257,38.1551,0.00637810799285656,254977,424,331
476,127.2904314,37.90134222,151.84,4165041021,41,127.287,37.9054,0.00531414005163646,244143,406,333
477,127.0439528,37.90553056,80,4125011200,41,127.042,37.9082,0.0033074669693865,244129,406,319
478,127.0148889,38.05586111,36,4180035021,41,127.009,38.0609,0.00775045518934663,250749,417,317
479,126.8863056,37.97905556,29,4180038021,41,126.885,37.9789,0.00131483469439526,247130,411,310
480,126.9949444,38.04469444,35,4180034024,41,126.991,38.0472,0.00467291368137024,250146,416,316
481,126.7160889,37.80241389,37,4148032027,41,126.724,37.8002,0.00821503573590032,239295,398,301
482,126.8512417,37.77626667,53,4148035027,41,126.847,37.7716,0.00630633235557421,238098,396,308
483,126.7870639,37.92596944,35,4148040021,41,126.796,37.9243,0.00909070476495613,244717,407,305
484,127.3164778,37.64657222,128,4136025628,41,127.317,37.642,0.00460194399883262,232707,387,335
485,127.4946917,37.67618889,83,4182031021,41,127.492,37.6811,0.00560037948018856,234523,390,345
486,127.4143944,37.73474722,61,4182032521,41,127.406,37.7377,0.00889858758952052,236926,394,340
487,126.5838672,37.646345,42,4157034000,41,126.583,37.6489,0.00269815878702647,232665,387,293
488,126.7411667,37.21497222,43,4159034023,41,126.735,37.2191,0.0074206978525142,214012,356,302
489,126.7109167,37.16375,25,4159035029,41,126.717,37.1639,0.00608514904418965,211603,352,301
490,127.11,38.0244444,72,4180032021,41,127.114,38.0182,0.00741569493439679,248949,414,323
491,127.0208333,38.0822222,39,4180031023,41,127.027,38.0884,0.00872888318915826,251954,419,318
492,126.8575,37.4217,36.4,4121010700,41,126.859,37.4255,0.00408533964315888,223049,371,309
493,127.00402,36.722687,54,4420031021,44,127.005,36.7194,0.00342998090373673,192356,320,318
494,127.24064,36.53152,107.8,3611011200,36,127.243,36.5373,0.00624323634023233,184544,307,332
495,127.162542,36.980625,13,4155025028,41,127.165,36.9801,0.00251344166433686,203803,339,327
496,127.26876,36.45853,27.23,3611034040,36,127.275,36.454,0.00771093379559767,180934,301,334
497,128.85147,37.57516,660.4,4215032025,42,128.852,37.5688,0.00638204512675345,230989,384,423
498,128.51447,37.87925,1018.68,4272039023,42,128.515,37.8824,0.00319427613082916,244213,406,403
499,127.02354,38.13608,53.7,4180037021,41,127.028,38.13,0.00754042439124247,253760,422,318
500,126.4201,37.6317,48,2871035027,28,126.425,37.6358,0.00638905313797999,232054,386,284
501,125.69819,37.65891,7.63,2872038021,28,125.691,37.6639,0.0087519255024201,233216,388,242
502,126.29164,37.78944,13.94,2871040025,28,126.286,37.7886,0.00570221009784718,238668,397,276
503,126.71193,37.90804,18.29,4148039024,41,126.708,37.9111,0.00498081318661544,244110,406,300
504,127.18073,37.87035,105.14,4165010300,41,127.181,37.8651,0.00525693827242052,242331,403,327
505,127.34543,37.82439,170.45,4182034521,41,127.338,37.8217,0.00790196178173479,240534,400,336
506,126.77693,37.74823,12.88,4148010100,41,126.776,37.7445,0.00384419042191905,236890,394,304
507,127.14358,38.02479,76.06,4165035025,41,127.149,38.0317,0.00878205556803066,249553,415,325
508,126.36093,37.46649,140.91,2811014900,28,126.355,37.4701,0.00694240592301555,224826,374,280
509,126.95015,37.45284,141.64,1162010200,11,126.947,37.4524,0.00318058170779288,224258,373,314
510,126.90705,37.52706,25.38,1156011700,11,126.913,37.5219,0.00787579202366002,227266,378,312
511,126.69047,37.55498,47.04,2826010500,28,126.687,37.5514,0.00498570957838963,228457,380,299
512,126.66209,37.39684,8.13,2818510500,28,126.668,37.3993,0.00640153887748854,221834,369,298
513,126.14495,37.22721,20.02,2872035022,28,126.145,37.2217,0.00551022685558511,213978,356,268
514,126.5787,37.23767,10,4127311100,41,126.579,37.234,0.00368224116537668,214605,357,293
515,126.77389,37.08453,10.47,4159025623,41,126.768,37.0806,0.00708074854799671,207994,346,304
516,127.25017,37.00371,23.92,4155012200,41,127.252,37.0067,0.00350556700121645,205012,341,332
517,128.4745,38.38537,6.11,4282025022,42,128.482,38.3821,0.00818186409077426,265882,442,400
518,128.1211,38.26958,468.47,4280034022,42,128.124,38.2654,0.00508747481565097,260444,433,380
519,127.5194,38.07545,297.73,4279034021,42,127.52,38.0822,0.00677661419884895,251982,419,346
520,128.51818,38.16705,135.58,4221011200,42,128.527,38.1731,0.0106955551515425,256855,427,403
521,128.60261,38.14377,13.39,4283035038,42,128.596,38.1436,0.00661218572031473,255655,425,407
522,127.9838,37.7871,187,4272031025,42,127.985,37.7833,0.00398497176903852,239367,398,373
523,128.82139,37.89848,8.94,4215025021,42,128.814,37.9022,0.00827348173384294,245434,408,420
524,128.92477,37.78579,6.61,4215011300,42,128.932,37.7881,0.00759005928829949,240625,400,427
525,128.37725,37.61234,552.11,4276034021,42,128.382,37.6087,0.00598432118122384,232166,386,396
526,128.394689,37.377481,303.2,4276025042,42,128.39,37.3732,0.00634930563134077,221933,369,397
527,128.64126,37.21108,392.43,4277025921,42,128.645,37.2147,0.00520499759847673,215326,358,412
529,129.28585,37.14156,36.07,4223025332,42,129.284,37.1405,0.00213215853070538,212955,354,449
530,130.8118,37.515,178,4794031026,47,130.805,37.5086,0.00933809402394133,231703,385,535
531,127.55219,37.89807,109.66,4182035022,41,127.55,37.9017,0.00423945751246583,244158,406,348
532,127.07349,37.73476,89.49,4115010500,41,127.074,37.7279,0.00687893160309325,236305,393,321
533,127.4808,37.3278,82,4150032000,41,127.484,37.3215,0.00706611633077118,218871,364,345
534,127.61058,37.121,88.2,4150025023,41,127.618,37.1258,0.0088372167564174,210451,350,353
535,128.18265,37.71701,313.5,4272034021,42,128.176,37.7102,0.00951832968540815,236368,393,384
536,127.97242,37.4876,114.35,4273025022,42,127.976,37.4928,0.00631319253627022,226725,377,373
537,128.84589,37.48323,488.08,4277035026,42,128.848,37.4858,0.00332520676049786,227377,378,423
538,127.10301,38.17254,82.25,4180036022,41,127.099,38.1708,0.00437123552327531,255570,425,322
539,127.36571,38.02415,137.74,4165038021,41,127.36,38.0291,0.00755689089507691,249565,415,337
540,126.892,37.6373,44.71,4128111300,41,126.897,37.6327,0.00679411510059469,232081,386,311
541,127.150517,37.634058,26,4136025922,41,127.142,37.6303,0.00930923482355002,232095,386,325
542,127.38017,37.68414,41.96,4182032524,41,127.388,37.6826,0.0079800062656599,234517,390,339
543,126.54958,37.499,25.79,2811014600,28,126.547,37.4969,0.00332661990616153,226041,376,291
544,126.6544,37.18565,10.96,4159035021,41,126.648,37.1921,0.00908639092269331,212803,354,297
545,126.83848,37.28103,5.92,4127110300,41,126.84,37.2874,0.00654883959186344,217028,361,308
546,127.2592,37.43529,122.61,4161010300,41,127.26,37.4352,0.000805046582501313,223674,372,332
547,127.75488,37.41593,108.62,4183038021,41,127.747,37.4141,0.00808970333201541,223100,371,360
548,127.63956,37.26883,118.56,4167011500,41,127.639,37.2637,0.00516047478436047,216472,360,354
549,127.22178,37.27011,79.36,4146125023,41,127.222,37.2697,0.000465295604966671,216448,360,330
550,127.04873,37.18787,41.75,4137011100,41,127.047,37.1887,0.0019188017094094,212826,354,320
551,127.10879,36.98769,27.14,4122011800,41,127.113,36.9945,0.00800626005073687,204402,340,324
552,127.4245,38.27218,238.38,4278025321,42,127.418,38.2777,0.00852762569534425,260404,433,340
553,128.42813,38.49235,21.47,4282031021,42,128.433,38.4943,0.00524589363215017,270695,450,397
554,128.43713,38.21439,771.81,4282033033,42,128.44,38.2168,0.00374766594028828,258656,430,398
555,127.7026,38.0964,113,4279032025,42,127.696,38.0933,0.00729177618966049,252594,420,356
556,127.98527,38.09799,187.57,4280025032,42,127.978,38.1021,0.00835134719671358,253212,421,372
557,128.3186,37.9526,336.51,4281033021,42,128.325,37.9562,0.00734302390026418,247212,411,392
558,127.70066,37.68614,94.64,4272037023,42,127.703,37.6916,0.00594030302257475,235137,391,357
559,128.39728,37.77805,574.76,4272039021,42,128.406,37.7742,0.0095320984048734,239391,398,397
560,128.56447,37.64794,540.54,4276036000,42,128.558,37.6459,0.00678398850235599,233982,389,406
561,128.15275,37.58219,221.38,4273035024,42,128.154,37.5861,0.00410494823353891,230949,384,383
562,128.26942,37.27534,285.87,4275036021,42,128.265,37.2793,0.00593447554549562,217712,362,390
563,128.6828,37.46356,362.87,4277034021,42,128.69,37.4625,0.00727760949764227,226164,376,414
565,126.77795,37.39154,5.77,4139013000,41,126.772,37.3848,0.00899055615632267,221238,368,304
566,128.81924,37.85155,8.36,4215037024,42,128.812,37.8469,0.00860465571652863,243026,404,420
567,126.93176,37.95332,71.25,4148037024,41,126.937,37.9508,0.00581446472170833,245929,409,313
568,127.31345,37.95867,162,4165037023,41,127.306,37.9605,0.00767146661337354,246552,410,334
569,127.15698,37.58224,27.15,4131010700,41,127.158,37.5886,0.00644127316607548,230290,383,326
570,126.64233,37.6232,33.72,2826011800,28,126.635,37.6209,0.00768237593456178,231464,385,296
571,126.82094,37.19525,45.39,4159026200,41,126.822,37.1908,0.00457450543775031,212813,354,307
572,127.12476,37.42093,28.65,4113310600,41,127.121,37.423,0.00429214398640261,223064,371,324
573,127.71352,37.55821,120.49,4183037021,41,127.716,37.553,0.00577013864651553,229118,381,358
574,127.58711,37.3694,36.85,4167035038,41,127.59,37.3752,0.006480131171516,221285,368,351
575,127.18765,37.10579,48.1,4146125622,41,127.184,37.1042,0.00398128120082659,209222,348,328
576,127.36632,37.12966,111.46,4146135029,41,127.358,37.1297,0.00832009615328819,210436,350,338
577,126.33654,37.53411,11.41,2872031024,28,126.338,37.5393,0.0053914469300896,227835,379,279
578,126.26628,36.3012,8.09,4418032029,44,126.263,36.2963,0.00589647352236265,173651,289,275
579,128.9133,37.36684,607.24,4223032025,42,128.913,37.3733,0.00646696219255614,222565,370,427
580,129.02888,37.61345,58.41,4215035021,42,129.029,37.619,0.00555129714571259,233407,388,433
581,128.77441,37.11663,422.1,4275025321,42,128.78,37.1142,0.00609532607824679,211120,351,420
582,128.07993,37.23146,328.01,4213039021,42,128.072,37.2281,0.00861246190121079,215293,358,379
583,128.1551,37.46463,534.72,4273032026,42,128.15,37.4616,0.00593219183776139,225531,375,383
585,128.08344,37.96599,236.41,4281031021,42,128.079,37.9615,0.00631456253432243,247198,411,378
586,127.8769,38.03209,226,4211038024,42,127.87,38.0348,0.00741310326381776,250196,416,366
587,127.95329,38.22642,276.94,4280033026,42,127.946,38.2274,0.00735557611611596,258628,430,370
588,127.64289,37.79066,83.37,4211040025,42,127.635,37.7896,0.00796088562911394,239347,398,353
589,126.79026,37.70236,59.07,4128511300,41,126.793,37.7028,0.00277510360167323,235085,391,305
590,127.00249,37.44028,46.6,4129010500,41,126.999,37.4381,0.00411491190671286,223659,372,317
591,128.05047,37.41554,267.66,4213031028,42,128.044,37.4223,0.00935726990097673,223719,372,377
592,127.74866,37.23162,52.7,4213035024,42,127.743,37.2344,0.00630587028094261,215274,358,360
593,128.54069,38.00731,128.31,4283031034,42,128.538,38.0065,0.00280930596411231,249632,415,404
594,128.21,38.2533,316,4281034023,42,128.212,38.2497,0.00411825205639072,259847,432,385
595,128.37415,38.26414,586.53,4282025037,42,128.371,38.26,0.00520212456596818,260458,433,394
596,128.49325,38.07699,240.99,4283031033,42,128.488,38.077,0.00525000952379042,252639,420,401
597,128.44108,37.54548,561.85,4276033022,42,128.449,37.5517,0.0100704915470989,229762,382,400
598,126.9905,37.83118,87.76,4163033021,41,126.988,37.8257,0.00602332134291797,240514,400,316
599,127.16977,37.76172,105.82,4165025025,41,127.162,37.7685,0.0103121918135761,238116,396,326
600,127.58973,36.97369,131.87,4377025326,43,127.597,36.9741,0.0072815520323537,203828,339,352
601,128.3669,36.98552,184.56,4380025025,43,128.359,36.9867,0.00798764045257723,205076,341,396
602,127.4625,36.8634,111,4375025025,43,127.456,36.8658,0.00692892488053098,199004,331,344
603,127.77758,36.81612,120.2,4376025022,43,127.783,36.819,0.00613765427504973,197217,328,363
604,127.59655,36.29994,122.64,4373025028,43,127.597,36.2976,0.00238287641307415,174331,290,353
605,127.75981,36.16313,139.68,4374025028,43,127.765,36.1569,0.00810857570723835,168321,280,363
606,126.38808,37.01061,23.22,4421025027,44,126.387,37.0137,0.00327330108606058,204962,341,282
607,126.13541,36.67309,6.4,4482533028,44,126.144,36.6691,0.00947144128420934,189898,316,268
